Age,CreditStatus,Duration,InstallmentRatePecnt,NumberDependents,PresentResidenceTime,A11,A12,A13,A14,A30,A31,A32,A33,A34,A121,A122,A123,A124,A40,A41,A410,A42,A43,A44,A45,A46,A48,A49,A61,A62,A63,A64,A65,A191,A192
0.089285714,1,0.20588235300000002,0.333333333,0.0,0.333333333,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0.125,0,0.294117647,1.0,0.0,0.666666667,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.23214285699999998,0,0.20588235300000002,1.0,0.0,0.333333333,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0.214285714,1,0.647058824,0.666666667,0.0,0.333333333,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0.17857142899999998,0,0.029411765,0.333333333,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0.446428571,0,0.029411765,0.333333333,1.0,0.666666667,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0.19642857100000002,1,0.20588235300000002,1.0,0.0,0.333333333,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0.035714286,1,0.117647059,1.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.35714285700000004,0,0.029411765,0.666666667,0.0,1.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.017857143,0,0.161764706,0.333333333,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0.303571429,0,0.470588235,1.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.33928571399999996,1,0.294117647,1.0,1.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
